0.19000,0.33700,0.00237
0.19000,0.34000,0.00222
0.19000,0.33500,0.00222
0.19000,0.33800,0.00222
0.19000,0.33600,0.00267
0.17000,0.32100,0.00222
0.17000,0.32000,0.00237
0.17000,0.32200,0.00237
0.17000,0.31500,0.00237
0.17000,0.31000,0.00252
0.15000,0.39000,0.00578
0.15000,0.42400,0.01201
0.15000,0.33200,0.03041
0.15000,0.36200,0.05058
0.15000,0.30200,0.31623
0.13000,0.33300,0.00237
0.13000,0.57800,0.95372
0.13000,0.34200,0.06378
0.13000,0.48000,0.01617
0.13000,0.50200,0.99080
0.11000,0.50400,0.00460
0.11000,0.54800,0.96440
0.11000,0.47000,0.99407
0.11000,0.49200,0.99006
0.11000,0.50300,0.38668
0.90000,0.76100,0.00282
0.90000,0.76100,0.00252
0.90000,0.76100,0.00163
0.90000,0.76100,0.00222
0.90000,0.76200,0.00311
0.70000,0.61700,0.00297
0.70000,0.61800,0.00119
0.70000,0.61900,0.00237
0.70000,0.61800,0.00252
0.70000,0.61800,0.00252
