0.29000,0.40700,0.00282
0.29000,0.40300,0.00297
0.29000,0.40500,0.00311
0.29000,0.40300,0.00222
0.29000,0.40200,0.00222
0.28000,0.67500,0.96752
0.28000,0.40000,0.00222
0.28000,0.72300,0.99659
0.28000,0.39700,0.00178
0.28000,0.39900,0.00222
0.27000,0.69500,0.97301
0.27000,0.39300,0.00252
0.27000,0.73400,0.26683
0.27000,0.39100,0.00297
0.27000,0.74400,0.99896
0.26000,0.71600,0.78018
0.26000,0.65400,0.97419
0.26000,0.71700,0.02744
0.26000,0.70300,0.97419
0.26000,0.75400,0.98828
0.25000,0.71200,0.98977
0.25000,0.62600,0.99555
0.25000,0.69700,0.94586
0.25000,0.70200,0.97508
0.25000,0.74700,0.99125
